 2022-11-06T11:17:25.357Z INFO  dtnd > starting dtnd
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Local Node ID: dtn://n1/
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Work Dir: "/home/thomas/thesis/monntpy-lab/profile"
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > DB Backend: mem
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Announcement Interval: 2s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Janitor Interval: 10s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Peer Timeout: 20s
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Web Port: 3000
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > IPv4: true
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > IPv6: false
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Generate Status Reports: false
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > RoutingAgent: epidemic
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > RoutingOptions: {}
 2022-11-06T11:17:25.357Z INFO  dtn7::dtnd::daemon > Adding CLA: MtcpConvergenceLayer
 2022-11-06T11:17:25.364Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645364-0
 2022-11-06T11:17:25.364Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645364-0
 2022-11-06T11:17:25.365Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645365-0
 2022-11-06T11:17:25.365Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645365-0
 2022-11-06T11:17:25.365Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645365-0
 2022-11-06T11:17:25.365Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645365-0
 2022-11-06T11:17:25.365Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645365-0
 2022-11-06T11:17:25.366Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645366-0
 2022-11-06T11:17:25.366Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645366-0
 2022-11-06T11:17:25.366Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645366-0
 2022-11-06T11:17:25.366Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645366-0
 2022-11-06T11:17:25.366Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645366-0
 2022-11-06T11:17:25.368Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645367-0
 2022-11-06T11:17:25.368Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645367-0
 2022-11-06T11:17:25.368Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645367-0
 2022-11-06T11:17:25.368Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645367-0
 2022-11-06T11:17:25.368Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645367-0
 2022-11-06T11:17:25.369Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645368-0
 2022-11-06T11:17:25.369Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645368-0
 2022-11-06T11:17:25.369Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645368-0
 2022-11-06T11:17:25.369Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645368-0
 2022-11-06T11:17:25.369Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645368-0
 2022-11-06T11:17:25.370Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645370-0
 2022-11-06T11:17:25.370Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645370-0
 2022-11-06T11:17:25.370Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645370-0
 2022-11-06T11:17:25.370Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645370-0
 2022-11-06T11:17:25.370Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645370-0
 2022-11-06T11:17:25.371Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645371-0
 2022-11-06T11:17:25.371Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645371-0
 2022-11-06T11:17:25.371Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645371-0
 2022-11-06T11:17:25.371Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645371-0
 2022-11-06T11:17:25.371Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645371-0
 2022-11-06T11:17:25.373Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645372-0
 2022-11-06T11:17:25.373Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645372-0
 2022-11-06T11:17:25.373Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645372-0
 2022-11-06T11:17:25.373Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645372-0
 2022-11-06T11:17:25.373Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645372-0
 2022-11-06T11:17:25.374Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645374-0
 2022-11-06T11:17:25.374Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645374-0
 2022-11-06T11:17:25.374Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645374-0
 2022-11-06T11:17:25.374Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645374-0
 2022-11-06T11:17:25.374Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645374-0
 2022-11-06T11:17:25.375Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645375-0
 2022-11-06T11:17:25.375Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645375-0
 2022-11-06T11:17:25.375Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645375-0
 2022-11-06T11:17:25.375Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645375-0
 2022-11-06T11:17:25.375Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645375-0
 2022-11-06T11:17:25.377Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645377-0
 2022-11-06T11:17:25.377Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645377-0
 2022-11-06T11:17:25.377Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645377-0
 2022-11-06T11:17:25.377Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645377-0
 2022-11-06T11:17:25.377Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645377-0
 2022-11-06T11:17:25.379Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645378-0
 2022-11-06T11:17:25.379Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645378-0
 2022-11-06T11:17:25.379Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645378-0
 2022-11-06T11:17:25.379Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645378-0
 2022-11-06T11:17:25.379Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645378-0
 2022-11-06T11:17:25.380Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645380-0
 2022-11-06T11:17:25.380Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645380-0
 2022-11-06T11:17:25.380Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645380-0
 2022-11-06T11:17:25.380Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645380-0
 2022-11-06T11:17:25.380Z INFO  dtn7::core::processing          > Add forwarding constraint again as bundle is non-local destination: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645380-0
 2022-11-06T11:17:25.382Z INFO  dtn7::core::processing          > Transmission of bundle requested: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645381-0
 2022-11-06T11:17:25.382Z INFO  dtn7::core::processing          > Dispatching bundle: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645381-0
 2022-11-06T11:17:25.382Z INFO  dtn7::core::processing          > Received bundle for local delivery: dtn://n1/mail/tu-darmstadt.de/monntpy-721048645381-0
 2022-11-06T11:17:25.382Z INFO  dtn7::core::processing          > Delivering dtn://n1/mail/tu-darmstadt.de/monntpy-721048645381-0
